id,symbol,closed_at,verify_attempts
1769,NEE.RTH,"2026-09-10 22:16:54",10
1770,SPFI,"2026-09-10 22:16:54",10
1772,2367.HK,"2026-09-10 22:16:54",10
1778,ALTRA.ST,"2026-09-10 22:16:54",10
1812,IWM,"2026-09-10 22:16:54",10
1833,VIS.MC,"2026-09-10 22:16:54",10
1842,ENEL.MI,"2026-09-10 22:16:54",10
1845,MS,"2026-09-10 22:16:54",10
1949,ELIS.PA,"2026-09-10 22:16:54",10
1969,DHER.DE,"2026-09-10 22:16:54",10
1975,SPY,"2026-09-10 22:16:54",10
1979,KO,"2026-09-10 22:16:54",10
1980,JPM,"2026-09-10 22:16:54",10
1985,V,"2026-09-10 22:16:54",10
1986,MSFT,"2026-09-10 22:16:54",10
1987,SPY,"2026-09-10 22:16:54",10
2003,2871.T,"2026-09-10 22:16:54",10
2004,3969.HK,"2026-09-10 22:16:54",10
2007,9531.T,"2026-09-10 22:16:54",10
2010,FRE.DE,"2026-09-10 22:16:54",10
2011,SAX.DE,"2026-09-10 22:16:54",10
2012,REC.MI,"2026-09-10 22:16:54",10
2015,AIA.ASX,"2026-09-10 22:16:54",10
2017,9863.HK,"2026-09-10 22:16:54",10
2024,EXA.PA,"2026-09-10 22:16:54",10
2026,TOKMAN.HE,"2026-09-10 22:16:54",10
2027,MCD,"2026-09-10 22:16:54",10
2028,QQQ,"2026-09-10 22:16:54",10
2030,TEG.DE,"2026-09-10 22:16:54",10
2031,NLOP,"2026-09-10 22:16:54",10
