id,symbol,amount_usd,closed_at,verify_attempts,verification_status,pnl_usd,pnl_pct
1769,NEE.RTH,100.0,"2026-09-10 21:31:30",13,PENDING,,
1770,SPFI,179.45,"2026-09-10 21:31:32",13,PENDING,,
1772,2367.HK,60.0,"2026-09-10 21:31:34",13,PENDING,,
1778,ALTRA.ST,164.79,"2026-09-10 21:31:35",13,PENDING,,
1812,IWM,186.24,"2026-09-10 21:31:36",13,PENDING,,
1833,VIS.MC,110.89,"2026-09-10 21:31:37",13,PENDING,,
1842,ENEL.MI,100.0,"2026-09-10 21:31:38",13,PENDING,,
1845,MS,60.0,"2026-09-10 21:31:42",13,PENDING,,
1949,ELIS.PA,64.12,"2026-09-10 21:31:43",13,PENDING,,
1969,DHER.DE,256.65,"2026-09-10 21:31:44",13,PENDING,,
1975,SPY,175.19,"2026-09-10 21:31:45",13,PENDING,,
1979,KO,175.01,"2026-09-10 21:31:46",13,PENDING,,
1980,JPM,174.97,"2026-09-10 21:31:47",13,PENDING,,
1985,V,174.88,"2026-09-10 21:31:48",13,PENDING,,
1986,MSFT,174.84,"2026-09-10 21:31:49",13,PENDING,,
1987,SPY,174.83,"2026-09-10 21:31:51",13,PENDING,,
2003,2871.T,50.0,"2026-09-10 21:31:52",13,PENDING,,
2004,3969.HK,50.0,"2026-09-10 21:31:54",13,PENDING,,
2007,9531.T,100.0,"2026-09-10 21:31:55",13,PENDING,,
2010,FRE.DE,50.0,"2026-09-10 21:31:56",13,PENDING,,
2011,SAX.DE,152.8,"2026-09-10 21:31:58",13,PENDING,,
2012,REC.MI,162.03,"2026-09-10 21:31:59",13,PENDING,,
2015,AIA.ASX,50.0,"2026-09-10 21:32:00",13,PENDING,,
2017,9863.HK,60.0,"2026-09-10 21:32:01",13,PENDING,,
2024,EXA.PA,78.15,"2026-09-10 21:32:02",13,PENDING,,
2026,TOKMAN.HE,103.66,"2026-09-10 21:32:04",13,PENDING,,
2027,MCD,50.0,"2026-09-10 21:32:05",13,PENDING,,
2028,QQQ,156.36,"2026-09-10 21:32:06",13,PENDING,,
2030,TEG.DE,72.16,"2026-09-10 21:32:07",13,PENDING,,
2031,NLOP,73.83,"2026-09-10 21:32:08",13,PENDING,,
