instrument_id,symbol,yfinance_symbol,resolved_symbol,rows,status
3307,XYZ.ASX,SQ,XYZ.AX,5,RESCUED (applied)
3308,NWS.ASX,NC.AX,NWS.AX,5,RESCUED (applied)
3309,FPH.ASX,F&P.AX,FPH.AX,5,RESCUED (applied)
3310,AIA.ASX,AIAL.AX,AIA.AX,5,RESCUED (applied)
3311,TLC.ASX,TLCL.AX,TLC.AX,5,RESCUED (applied)
3312,REH.ASX,RL.AX,REH.AX,5,RESCUED (applied)
3314,TWE.ASX,TWEL.AX,TWE.AX,5,RESCUED (applied)
3315,TPG.ASX,TTL.AX,TPG.AX,5,RESCUED (applied)
3316,SPK.ASX,SNZL.AX,SPK.AX,5,RESCUED (applied)
3317,CAR.ASX,CL.AX,CAR.AX,5,RESCUED (applied)
3318,SGH.ASX,SL.AX,SGH.AX,5,RESCUED (applied)
3319,ORI.ASX,OL.AX,ORI.AX,5,RESCUED (applied)
3320,ALD.ASX,AL.AX,ALD.AX,5,RESCUED (applied)
3321,CWY.ASX,CWML.AX,CWY.AX,5,RESCUED (applied)
3322,ALQ.ASX,AL.AX_3322,ALQ.AX,5,RESCUED (applied)
3323,LLC.ASX,LG.AX,LLC.AX,5,RESCUED (applied)
3324,PME.ASX,PML.AX,PME.AX,5,RESCUED (applied)
3325,BEN.ASX,BAA.AX,BEN.AX,5,RESCUED (applied)
3326,HVN.ASX,HNHL.AX,HVN.AX,5,RESCUED (applied)
3327,CGF.ASX,CL.AX_3327,CGF.AX,5,RESCUED (applied)
3328,NHC.ASX,NHCL.AX,NHC.AX,5,RESCUED (applied)
3329,QUB.ASX,QHL.AX,QUB.AX,5,RESCUED (applied)
3330,BOQ.ASX,BOQL.AX,BOQ.AX,5,RESCUED (applied)
3332,A2M.ASX,TAM.AX,A2M.AX,5,RESCUED (applied)
3333,VEA.ASX,VEGL.AX,VEA.AX,5,RESCUED (applied)
3334,AMP.ASX,AL.AX_3334,AMP.AX,5,RESCUED (applied)
3335,NXT.ASX,NL.AX,NXT.AX,5,RESCUED (applied)
3336,BPT.ASX,BEL.AX,BPT.AX,5,RESCUED (applied)
3337,MTS.ASX,ML.AX,MTS.AX,5,RESCUED (applied)
3338,TNE.ASX,TOL.AX,TNE.AX,5,RESCUED (applied)
3339,ANN.ASX,AL.AX_3339,ANN.AX,5,RESCUED (applied)
3342,CRN.ASX,CGRI.AX,CRN.AX,5,RESCUED (applied)
3343,NHF.ASX,NHL.AX,NHF.AX,5,RESCUED (applied)
3344,DOW.ASX,DEL.AX,DOW.AX,5,RESCUED (applied)
3347,BRG.ASX,BGL.AX,BRG.AX,5,RESCUED (applied)
3348,SGR.ASX,TSE.AX,SGR.AX,5,RESCUED (applied)
3349,PRU.ASX,PML.AX_3349,PRU.AX,5,RESCUED (applied)
3350,CIA.ASX,CIL.AX,CIA.AX,5,RESCUED (applied)
3351,CTD.ASX,CTML.AX,CTD.AX,5,RESCUED (applied)
3368,MYR.ASX,MHL.AX,MYR.AX,5,RESCUED (applied)
3371,VGS.ASX,VMI.AX,VGS.AX,5,RESCUED (applied)
3372,IVV.ASX,IS5E.AX,IVV.AX,5,RESCUED (applied)
