instrument_id,symbol,resolved_symbol,etoro_name,yahoo_name,verdict
2353,00006.HK,0006.HK,Power Assets Holdings Ltd,Power Assets Holdings Limited,MATCH
2356,00017.HK,0017.HK,New World Development Co Ltd,New World Development Company Limited,MATCH
2357,00019.HK,0019.HK,Swire Pacific Ltd,Swire Pacific Limited,MATCH
2359,00135.HK,0135.HK,Kunlun Energy Co Ltd,Kunlun Energy Company Limited,MATCH
2362,00257.HK,0257.HK,China Everbright Environment Group Ltd,China Everbright Environment Group Limited,MATCH
2363,00268.HK,0268.HK,Kingdee International Software,Kingdee International Software Group Company Limited,MATCH
2365,00322.HK,0322.HK,Tingyi Cayman Islands Holding,Tingyi (Cayman Islands) Holding Corp.,MATCH
2366,00384.HK,0384.HK,China Gas Holdings Ltd,China Gas Holdings Limited,MATCH
2367,00388.HK,0388.HK,Hong Kong Exchanges & Clearing,Hong Kong Exchanges and Clearing Limited,MATCH
2368,00763.HK,0763.HK,ZTE Corp,ZTE Corporation,MATCH
2369,788.HK,0788.HK,China Tower Corp Ltd,China Tower Corporation Limited,MATCH
2370,00857.HK,0857.HK,PetroChina Co Ltd,PetroChina Company Limited,MATCH
2371,00880.HK,0880.HK,SJM Holdings Ltd,SJM Holdings Limited,MATCH
2372,00966.HK,0966.HK,China Taiping Insurance Holdin,China Taiping Insurance Holdings Company Limited,MATCH
2373,00981.HK,0981.HK,Semiconductor Manufacturing International Corporation,Semiconductor Manufacturing International Corporation,MATCH
2374,01055.HK,1055.HK,China Southern Airlines Co Ltd,China Southern Airlines Company Limited,MATCH
2375,01093.HK,1093.HK,CSPC Pharmaceutical Group Ltd,CSPC Pharmaceutical Group Limited,MATCH
2377,01114.HK,1114.HK,Brilliance China Automotive,Brilliance China Automotive Holdings Limited,MATCH
2378,01128.HK,1128.HK,Wynn Macau Ltd,"Wynn Macau, Limited",MATCH
2379,01177.HK,1177.HK,Sino Biopharmaceutical Ltd,Sino Biopharmaceutical Limited,MATCH
2380,01211.HK,1211.HK,BYD Co Ltd,BYD Company Limited,MATCH
2381,01336.HK,1336.HK,New China Life Insurance Co Ltd,New China Life Insurance Company Ltd.,MATCH
2383,02018.HK,2018.HK,AAC Technologies Holdings Inc,AAC Technologies Holdings Inc.,MATCH
2385,02196.HK,2196.HK,Shanghai Fosun Pharmaceutical,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd.",MATCH
2386,02269.HK,2269.HK,Wuxi Biologics Cayman Inc,WuXi Biologics (Cayman) Inc.,MATCH
2387,02313.HK,2313.HK,Shenzhou International Group,Shenzhou International Group Holdings Limited,MATCH
2388,02319.HK,2319.HK,China Mengniu Dairy Co Ltd,China Mengniu Dairy Company Limited,MATCH
2389,02382.HK,2382.HK,Sunny Optical Technology Group,Sunny Optical Technology (Group) Company Limited,MATCH
2390,02386.HK,2386.HK,Sinopec Engineering Group Co,"SINOPEC Engineering (Group) Co., Ltd.",MATCH
