instrument_id,symbol,yfinance_symbol,resolved_symbol,rows,status
2303,1288.HK,ABOC.HK,1288.HK,5,RESCUED (dry-run)
2306,2007.HK,CG.HK,2007.HK,5,RESCUED (dry-run)
2307,0998.HK,CCB.HK_2307,0998.HK,5,RESCUED (dry-run)
2308,1988.HK,CMB.HK,1988.HK,5,RESCUED (dry-run)
2309,1339.HK,PIC.HK,1339.HK,5,RESCUED (dry-run)
2310,3323.HK,CNBM.HK,3323.HK,5,RESCUED (dry-run)
2311,1359.HK,CCA.HK,1359.HK,5,RESCUED (dry-run)
2313,1088.HK,CS.HK,1088.HK,5,RESCUED (dry-run)
2314,1171.HK,YC.HK,1171.HK,5,RESCUED (dry-run)
2315,1800.HK,CCC.HK,1800.HK,5,RESCUED (dry-run)
2317,3800.HK,GTHL.HK,3800.HK,5,RESCUED (dry-run)
2318,0902.HK,HPI.HK,0902.HK,5,RESCUED (dry-run)
2319,2328.HK,PPAC.HK,2328.HK,5,RESCUED (dry-run)
2320,0762.HK,CUH.HK,0762.HK,5,RESCUED (dry-run)
2321,0728.HK,CT.HK,0728.HK,5,RESCUED (dry-run)
2322,1816.HK,CPCL.HK,1816.HK,5,RESCUED (dry-run)
2323,2899.HK,ZM.HK,2899.HK,5,RESCUED (dry-run)
2324,2628.HK,CLI(.HK,2628.HK,5,RESCUED (dry-run)
2325,1898.HK,CCE.HK,1898.HK,5,RESCUED (dry-run)
2327,3328.HK,BOC.HK_2327,3328.HK,5,RESCUED (dry-run)
2328,0753.HK,AC.HK,0753.HK,5,RESCUED (dry-run)
2329,0968.HK,XSHL.HK,0968.HK,5,RESCUED (dry-run)
2330,0688.HK,COL.HK,0688.HK,5,RESCUED (dry-run)
2331,2333.HK,GWM.HK,2333.HK,5,RESCUED (dry-run)
2332,2883.HK,CO.HK,2883.HK,5,RESCUED (dry-run)
2333,0916.HK,CL.HK,0916.HK,5,RESCUED (dry-run)
2335,0390.HK,CRG.HK,0390.HK,5,RESCUED (dry-run)
2336,2338.HK,WP.HK,2338.HK,5,RESCUED (dry-run)
2337,2601.HK,CPI.HK,2601.HK,5,RESCUED (dry-run)
2338,3968.HK,CMB.HK_2338,3968.HK,5,RESCUED (dry-run)
2340,2238.HK,GA.HK,2238.HK,5,RESCUED (dry-run)
2341,1966.HK,CSP.HK,1966.HK,5,RESCUED (dry-run)
2344,6030.HK,CSCL.HK,6030.HK,5,RESCUED (dry-run)
2345,1628.HK,YPCL.HK,1628.HK,5,RESCUED (dry-run)
2346,0914.HK,AC.HK_2346,0914.HK,5,RESCUED (dry-run)
2347,0656.HK,FI.HK,0656.HK,5,RESCUED (dry-run)
2348,1618.HK,MCOC.HK,1618.HK,5,RESCUED (dry-run)
2349,1109.HK,CRL.HK,1109.HK,5,RESCUED (dry-run)
2350,1186.HK,CRC.HK,1186.HK,5,RESCUED (dry-run)
2353,00006.HK,PAHL.HK,0006.HK,5,RESCUED (dry-run)
2356,00017.HK,NWD.HK,0017.HK,5,RESCUED (dry-run)
2357,00019.HK,SPL.HK,0019.HK,5,RESCUED (dry-run)
2359,00135.HK,KECL.HK,0135.HK,5,RESCUED (dry-run)
2362,00257.HK,CEE.HK,0257.HK,5,RESCUED (dry-run)
2363,00268.HK,KIS.HK,0268.HK,5,RESCUED (dry-run)
2365,00322.HK,TCIH.HK,0322.HK,5,RESCUED (dry-run)
2366,00384.HK,CGHL.HK,0384.HK,5,RESCUED (dry-run)
2367,00388.HK,HKE.HK,0388.HK,5,RESCUED (dry-run)
2368,00763.HK,ZC.HK,0763.HK,5,RESCUED (dry-run)
2369,788.HK,CTCL.HK,0788.HK,5,RESCUED (dry-run)
2370,00857.HK,PCL.HK,0857.HK,5,RESCUED (dry-run)
2371,00880.HK,SHL.HK,0880.HK,5,RESCUED (dry-run)
2372,00966.HK,CTIH.HK,0966.HK,5,RESCUED (dry-run)
2373,00981.HK,SMIC.HK,0981.HK,5,RESCUED (dry-run)
2374,01055.HK,CSA.HK,1055.HK,5,RESCUED (dry-run)
2375,01093.HK,CPGL.HK,1093.HK,5,RESCUED (dry-run)
2377,01114.HK,BCA.HK,1114.HK,5,RESCUED (dry-run)
2378,01128.HK,WML.HK,1128.HK,5,RESCUED (dry-run)
