instrument_id,symbol,yfinance_symbol,resolved_symbol,rows,status
14505,1332.T,NC.T,1332.T,5,RESCUED (applied)
14506,1605.T,IC.T,1605.T,5,RESCUED (applied)
14507,1721.T,CHC.T,1721.T,5,RESCUED (applied)
14508,1801.T,TC.T,1801.T,5,RESCUED (applied)
14509,1802.T,OC.T,1802.T,5,RESCUED (applied)
14510,1803.T,SC.T,1803.T,5,RESCUED (applied)
14511,1808.T,HC.T,1808.T,5,RESCUED (applied)
14512,1812.T,KC.T,1812.T,5,RESCUED (applied)
14513,1925.T,DHI.T,1925.T,5,RESCUED (applied)
14514,1928.T,SHL.T,1928.T,5,RESCUED (applied)
14515,1963.T,JHC.T,1963.T,5,RESCUED (applied)
14516,2002.T,NSGI.T,2002.T,5,RESCUED (applied)
14517,2269.T,MHCL.T,2269.T,5,RESCUED (applied)
14518,2282.T,NFL.T,2282.T,5,RESCUED (applied)
14519,2413.T,MI.T,2413.T,5,RESCUED (applied)
14520,2432.T,DCL.T,2432.T,5,RESCUED (applied)
14521,2501.T,SAP.DE_14521,2501.T,5,RESCUED (applied)
14522,2502.T,AGHL.T,2502.T,5,RESCUED (applied)
14523,2503.T,KHCL.T,2503.T,5,RESCUED (applied)
14524,2768.T,SC.T_14524,2768.T,5,RESCUED (applied)
14525,2801.T,KC.T_14525,2801.T,5,RESCUED (applied)
14526,2802.T,ACI.T,2802.T,5,RESCUED (applied)
14527,2871.T,NC.T_14527,2871.T,5,RESCUED (applied)
14528,2914.T,JTI.T,2914.T,5,RESCUED (applied)
14529,6532.T,BI.T,6532.T,5,RESCUED (applied)
14530,3086.T,JFR.T,3086.T,5,RESCUED (applied)
14531,3092.T,ZI.T,3092.T,5,RESCUED (applied)
14532,3099.T,IMHL.T,3099.T,5,RESCUED (applied)
14533,3382.T,S&I.T,3382.T,5,RESCUED (applied)
14534,3401.T,TL.T,3401.T,5,RESCUED (applied)
14535,3402.T,TII.T,3402.T,5,RESCUED (applied)
14536,3405.T,KCL.T,3405.T,5,RESCUED (applied)
14537,3407.T,AKC.T,3407.T,5,RESCUED (applied)
14538,3659.T,NCL.T,3659.T,5,RESCUED (applied)
14539,3861.T,OHC.T,3861.T,5,RESCUED (applied)
14540,4004.T,RHC.T,4004.T,5,RESCUED (applied)
14541,4005.T,SCCL.T,4005.T,5,RESCUED (applied)
14542,4021.T,NCC.T,4021.T,5,RESCUED (applied)
14543,4042.T,TC.T_14543,4042.T,5,RESCUED (applied)
14544,4043.T,TC.T_14544,4043.T,5,RESCUED (applied)
14545,4061.T,DCL.T_14545,4061.T,5,RESCUED (applied)
14546,4063.T,SCCL.T_14546,4063.T,5,RESCUED (applied)
14547,4151.T,KKCL.T,4151.T,5,RESCUED (applied)
14548,4183.T,MCI.T,4183.T,5,RESCUED (applied)
14549,4188.T,8058.T_14549,4188.T,5,RESCUED (applied)
14550,4208.T,UC.T,4208.T,5,RESCUED (applied)
14551,4324.T,DGI.T,4324.T,5,RESCUED (applied)
14552,4385.T,MI.T_14552,4385.T,5,RESCUED (applied)
14553,4452.T,KC.T_14553,4452.T,5,RESCUED (applied)
14554,4502.T,TPCL.T,4502.T,5,RESCUED (applied)
14556,4506.T,SPCL.T,4506.T,5,RESCUED (applied)
14557,4507.T,S&CL.T,4507.T,5,RESCUED (applied)
14558,4519.T,CPCL.T,4519.T,5,RESCUED (applied)
14559,4523.T,ECL.T,4523.T,5,RESCUED (applied)
14560,4543.T,TC.T_14560,4543.T,5,RESCUED (applied)
14561,4568.T,DSCL.T,4568.T,5,RESCUED (applied)
14562,4578.T,OHCL.T,4578.T,5,RESCUED (applied)
14563,4661.T,OLCL.T,4661.T,5,RESCUED (applied)
14564,4689.T,LC.T,4689.T,5,RESCUED (applied)
14565,4704.T,TMI.T,4704.T,5,RESCUED (applied)
14566,4751.T,CI.T,4751.T,5,RESCUED (applied)
14567,4755.T,RGI.T,4755.T,5,RESCUED (applied)
14568,4901.T,FHC.T,4901.T,5,RESCUED (applied)
14569,4902.T,KMI.T,4902.T,5,RESCUED (applied)
14570,4911.T,SCL.T,4911.T,5,RESCUED (applied)
14571,5019.T,IKCL.T,5019.T,5,RESCUED (applied)
14572,5020.T,EHI.T,5020.T,5,RESCUED (applied)
14573,5101.T,YRCL.T,5101.T,5,RESCUED (applied)
14575,5201.T,AI.T,5201.T,5,RESCUED (applied)
14576,5214.T,NEG.T,5214.T,5,RESCUED (applied)
14577,5233.T,TCC.T,5233.T,5,RESCUED (applied)
14578,5301.T,TCCL.T,5301.T,5,RESCUED (applied)
14579,5332.T,TL.T_14579,5332.T,5,RESCUED (applied)
14580,5333.T,NIL.T,5333.T,5,RESCUED (applied)
14581,5401.T,NSC.T,5401.T,5,RESCUED (applied)
14582,5406.T,KSL.T,5406.T,5,RESCUED (applied)
14583,5411.T,JHI.T,5411.T,5,RESCUED (applied)
14584,8253.T,CSCL.T,8253.T,5,RESCUED (applied)
14585,5631.T,TJS.T,5631.T,5,RESCUED (applied)
14586,6674.T,GYC.T,6674.T,5,RESCUED (applied)
14587,5706.T,MM&.T,5706.T,5,RESCUED (applied)
14588,4062.T,ICL.T,4062.T,5,RESCUED (applied)
14589,5711.T,8058.T_14589,5711.T,5,RESCUED (applied)
14590,5713.T,SMM.T,5713.T,5,RESCUED (applied)
14591,5714.T,DHCL.T,5714.T,5,RESCUED (applied)
14592,5801.T,FECL.T,5801.T,5,RESCUED (applied)
14593,5802.T,SEIL.T,5802.T,5,RESCUED (applied)
14594,5803.T,FL.T,5803.T,5,RESCUED (applied)
14595,6098.T,RHCL.T,6098.T,5,RESCUED (applied)
14596,6103.T,OC.T_14596,6103.T,5,RESCUED (applied)
14597,6113.T,ACL.T,6113.T,5,RESCUED (applied)
14598,6146.T,DC.T,6146.T,5,RESCUED (applied)
14599,6178.T,JPH.T,6178.T,5,RESCUED (applied)
14600,6273.T,SC.T_14600,6273.T,5,RESCUED (applied)
14602,6302.T,SHIL.T,6302.T,5,RESCUED (applied)
14603,6305.T,HCM.T,6305.T,5,RESCUED (applied)
14604,6326.T,KC.T_14604,6326.T,5,RESCUED (applied)
14605,6361.T,EC.T,6361.T,5,RESCUED (applied)
14607,6471.T,NL.T,6471.T,5,RESCUED (applied)
14608,6472.T,NC.T_14608,6472.T,5,RESCUED (applied)
14609,6473.T,JC.T,6473.T,5,RESCUED (applied)
14610,6479.T,MMI.T,6479.T,5,RESCUED (applied)
14612,6503.T,8058.T_14612,6503.T,5,RESCUED (applied)
14613,6504.T,FECL.T_14613,6504.T,5,RESCUED (applied)
14614,6506.T,YEC.T,6506.T,5,RESCUED (applied)
14615,6526.T,SI.T,6526.T,5,RESCUED (applied)
14616,4307.T,NRIL.T,4307.T,5,RESCUED (applied)
14617,6645.T,OC.T_14617,6645.T,5,RESCUED (applied)
14618,6701.T,NC.T_14618,6701.T,5,RESCUED (applied)
14619,6702.T,FL.T_14619,6702.T,5,RESCUED (applied)
14620,6723.T,TRX-USD,6723.T,5,RESCUED (applied)
14621,6724.T,SEC.T,6724.T,5,RESCUED (applied)
14622,6752.T,PHC.T,6752.T,5,RESCUED (applied)
14623,6753.T,SC.T_14623,6753.T,5,RESCUED (applied)
14625,6762.T,TC.T_14625,6762.T,5,RESCUED (applied)
14626,6770.T,AACL.T,6770.T,5,RESCUED (applied)
14627,6841.T,YEC.T_14627,6841.T,5,RESCUED (applied)
14628,6857.T,AC.T,6857.T,5,RESCUED (applied)
14631,6920.T,LC.T_14631,6920.T,5,RESCUED (applied)
14632,6952.T,CCCL.T,6952.T,5,RESCUED (applied)
14634,6971.T,KC.T_14634,6971.T,5,RESCUED (applied)
14635,6976.T,TYCL.T,6976.T,5,RESCUED (applied)
14636,6981.T,MMCL.T,6981.T,5,RESCUED (applied)
14637,6988.T,NDC.T,6988.T,5,RESCUED (applied)
14638,9147.T,NEHI.T,9147.T,5,RESCUED (applied)
14639,7004.T,HZC.T,7004.T,5,RESCUED (applied)
14640,7011.T,8058.T_14640,7011.T,5,RESCUED (applied)
14641,7012.T,KHIL.T,7012.T,5,RESCUED (applied)
14642,7013.T,IC.T_14642,7013.T,5,RESCUED (applied)
14643,7186.T,FBO.T,7186.T,5,RESCUED (applied)
14644,7201.T,NMCL.T,7201.T,5,RESCUED (applied)
14645,7202.T,IML.T,7202.T,5,RESCUED (applied)
14647,543A.T,AC.T_14647,543A.T,5,RESCUED (applied)
14648,7211.T,8058.T_14648,7211.T,5,RESCUED (applied)
14649,7261.T,MMC.T,7261.T,5,RESCUED (applied)
14650,7267.T,HMCL.T,7267.T,5,RESCUED (applied)
14651,7269.T,SMC.T,7269.T,5,RESCUED (applied)
14652,7270.T,SC.T_14652,7270.T,5,RESCUED (applied)
14653,7272.T,YMCL.T,7272.T,5,RESCUED (applied)
14654,7453.T,RKCL.T,7453.T,5,RESCUED (applied)
14655,7731.T,NC.T_14655,7731.T,5,RESCUED (applied)
14656,7733.T,OC.T_14656,7733.T,5,RESCUED (applied)
14657,7735.T,SHCL.T,7735.T,5,RESCUED (applied)
14658,7741.T,HC.T_14658,7741.T,5,RESCUED (applied)
14660,7752.T,RCL.T,7752.T,5,RESCUED (applied)
14661,8591.T,OC.T_14661,8591.T,5,RESCUED (applied)
14662,7832.T,BNHI.T,7832.T,5,RESCUED (applied)
14663,7911.T,THI.T,7911.T,5,RESCUED (applied)
14664,7912.T,DNP.T,7912.T,5,RESCUED (applied)
14665,7951.T,YC.T,7951.T,5,RESCUED (applied)
