instrument_id,local_symbol,live_symbol
1,EURUSD=X,EURUSD
2,GBPUSD=X,GBPUSD
3,NZDUSD=X,NZDUSD
4,USDCAD=X,USDCAD
5,USDJPY=X,USDJPY
6,USDCHF=X,USDCHF
7,AUDUSD=X,AUDUSD
8,EURGBP=X,EURGBP
9,EURCHF=X,EURCHF
10,EURJPY=X,EURJPY
11,GBPJPY=X,GBPJPY
12,EURAUD=X,EURAUD
13,EURCAD=X,EURCAD
14,AUDJPY=X,AUDJPY
15,CADJPY=X,CADJPY
16,CHFJPY=X,CHFJPY
17,OIL (NON-USD,OIL
18,GOLD (NO-USD,GOLD
19,SILVER (-USD,SILVER
21,COPPER (-USD,COPPER.FUT
25,UDI,USDOLLAR
26,CAI,China50.FUTURE
27,SI(E,SPX500
28,NI(E,NSDQ100
29,DI(E,DJ30
30,UI(E,UK100
31,FI(E,FRA40
32,GI(E,GER40
33,AI(E,AUS200
34,EI(E,ESP35
36,JI(E,JPN225
38,HI(E,HKG50
39,USDHKD=X,USDHKD
41,PALLADIU-USD,PALLADIUM.spot
42,USDZAR=X,USDZAR
43,EI(E_43,EUSTX50
44,USDRUB=X,USDRUB
45,USDCNH=X,USDCNH
46,AUDCHF=X,AUDCHF
47,AUDCAD=X,AUDCAD
48,AUDNZD=X,AUDNZD
49,EURNZD=X,EURNZD
50,GBPAUD=X,GBPAUD
51,GBPCHF=X,GBPCHF
52,GBPNZD=X,GBPNZD
53,NZDCAD=X,NZDCAD
54,NZDCHF=X,NZDCHF
55,NZDJPY=X,NZDJPY
56,CADCHF=X,CADCHF
57,USDNOK=X,USDNOK
58,USDSEK=X,USDSEK
59,NOKSEK=X,NOKSEK
60,EURNOK=X,EURNOK
61,EURSEK=X,EURSEK
62,USDTRY=X,USDTRY
63,USDMXN=X,USDMXN
64,USDSGD=X,USDSGD
65,GBPCAD=X,GBPCAD
66,ZARJPY=X,ZARJPY
68,EURPLN=X,EURPLN
69,USDHUF=X,USDHUF
70,EURHUF=X,EURHUF
71,GBPHUF=X,GBPHUF
72,CHFHUF=X,CHFHUF
73,USDPLN=X,USDPLN
75,USDDKK=X,USDDKK
76,EURDKK=X,EURDKK
82,USDCZK=X,USDCZK
83,USDRON=X,USDRON
84,KRWUSDold=X,KRWUSD_old
85,BRLUSDold=X,BRLUSD_old
86,CLPUSDold=X,CLPUSD old
87,COPUSDold=X,COPUSD old
88,PENUSD=X,PENUSD
89,ARSUSD=X,ARSUSD
90,QARUSD=X,QARUSD
91,PALLADIU-USD_91,PALLADIUM.FUT
92,SUGAR (E-USD,SUGAR.FUT
93,COTTON (-USD,COTTON.FUT
94,WHITE SU-USD,WhiteSugar
95,MICRO WT-USD,OIL.MICRO
96,COCOA (E-USD,COCOA.FUT
97,WHEAT (E-USD,WHEAT.FUT
98,COTTON N-USD,CottonNo7
99,ALUMINUM-USD,ALUMINUM.FUT
100,NICKEL F-USD,NICKEL.FUT
101,R2,US2000
107,USDBRL=X,USDBRL_old
110,INRUSD=X,INRUSD
111,USDSaudiRiyal=X,USDSAR_old
115,CRUDE OI-USD,CL.JUL20
117,CRUDE OI-USD_117,CL.AUG20
118,CRUDE OI-USD_118,CL.SEP20
119,CRUDE OI-USD_119,CL.OCT20
120,CRUDE OI-USD_120,CL.NOV20
121,CRUDE OI-USD_121,CL.DEC20
122,CRUDE OI-USD_122,CL.JAN21
123,CRUDE OI-USD_123,CL.FEB21
124,CRUDE OI-USD_124,CL.MAR21
125,CRUDE OI-USD_125,CL.APR21
126,CRUDE OI-USD_126,CL.MAY21
127,CRUDE OI-USD_127,CL.JUN21
128,CRUDE OI-USD_128,CL.JUL21
129,CRUDE OI-USD_129,CL.AUG21
130,CRUDE OI-USD_130,CL.SEP21
131,CRUDE OI-USD_131,CL.OCT21
132,CRUDE OI-USD_132,CL.NOV21
133,CRUDE OI-USD_133,CL.DEC21
142,EN1,NQH1
252,UF,USDOLLAR.FUT
253,CI(E,CHINA50
254,SF,SPX500.FUT
255,NF,NSDQ100.FUT
256,DF,DJ30.FUT
257,UF_257,UK100.FUT
258,FF,FRA40.FUT
259,GF,GER40.FUT
260,AF,AUS200.FUT
261,EF,ESP35.FUT
262,JF,JPN225.FUT
263,HF,HKG50.FUT
264,EF_264,EUSTX50.FUT
265,CRUDE OI-USD_265,CL.JAN22
266,CRUDE OI-USD_266,CL.FEB22
267,CRUDE OI-USD_267,CL.MAR22
268,CRUDE OI-USD_268,CL.APR22
269,CRUDE OI-USD_269,CL.MAY22
270,CRUDE OI-USD_270,CL.JUN22
271,CRUDE OI-USD_271,CL.JUL22
