instrument_id,symbol,yfinance_symbol,resolved_symbol,rows,status
12513,123F.DE,1S.DE,123F.DE,3,RESCUED (applied)
12542,Z29.DE,0GS.DE,Z29.DE,3,RESCUED (applied)
12798,2020.OL,2BL,2020.OL,5,RESCUED (applied)
12982,5PG.OL,5PGA,5PG.OL,5,RESCUED (applied)
13058,AL2SI.PA,2S.PA,AL2SI.PA,5,RESCUED (applied)
13068,ABCA.PA,AAS.PA,ABCA.PA,5,RESCUED (applied)
13072,74SW.PA,7S.PA,74SW.PA,5,RESCUED (applied)
13107,AB.PA,ASS.PA,AB.PA,5,RESCUED (applied)
13204,ALKLA.PA,KS.PA_13204,ALKLA.PA,4,RESCUED (applied)
14239,AEME.PA,ACM.PA,AEME.PA,5,RESCUED (applied)
14242,EBUY.PA,AMD.PA,EBUY.PA,5,RESCUED (applied)
14243,CEU2.PA,ACM.PA_14243,CEU2.PA,5,RESCUED (applied)
15292,CSH.PA,AEO.PA,CSH.PA,5,RESCUED (applied)
15294,ACWI.PA,AMA.PA,ACWI.PA,5,RESCUED (applied)
15297,EPRA.PA,AIF.PA,EPRA.PA,5,RESCUED (applied)
15298,ANRJ.PA,AGH.PA,ANRJ.PA,5,RESCUED (applied)
15299,CWE.PA,AGB.PA,CWE.PA,5,RESCUED (applied)
15301,CG1.PA,ADU.PA,CG1.PA,5,RESCUED (applied)
15302,CF1.PA,AMF.PA,CF1.PA,5,RESCUED (applied)
15303,CS1.PA,AI3.PA,CS1.PA,5,RESCUED (applied)
15304,100H.PA,AF1.PA,100H.PA,5,RESCUED (applied)
15305,C50.PA,AES.PA,C50.PA,5,RESCUED (applied)
15309,BNKE.PA,AES.PA_15309,BNKE.PA,5,RESCUED (applied)
15318,EPRE.PA,AFE.PA,EPRE.PA,5,RESCUED (applied)
15323,CEM.PA,AME.PA,CEM.PA,5,RESCUED (applied)
15324,MCEU.PA,AME.PA_15324,MCEU.PA,5,RESCUED (applied)
15326,CI2.PA,AMI.PA,CI2.PA,5,RESCUED (applied)
15327,INDO.PA,AMI.PA_15327,INDO.PA,5,RESCUED (applied)
15328,AASI.PA,AME.PA_15328,AASI.PA,5,RESCUED (applied)
15329,ALAT.PA,AME.PA_15329,ALAT.PA,5,RESCUED (applied)
15333,CEU.PA,AME.PA_15333,CEU.PA,5,RESCUED (applied)
15349,MFEC.PA,ACM.PA_15349,MFEC.PA,5,RESCUED (applied)
15350,TPXH.PA,AJT.PA,TPXH.PA,5,RESCUED (applied)
15351,JPHE.PA,AJ4.PA,JPHE.PA,5,RESCUED (applied)
15352,CC1.PA,AMC.PA,CC1.PA,5,RESCUED (applied)
15650,CG9.PA,AME.PA_15650,CG9.PA,5,RESCUED (applied)
15651,QCEU.PA,AME.PA_15651,QCEU.PA,5,RESCUED (applied)
15652,CV9.PA,AME.PA_15652,CV9.PA,5,RESCUED (applied)
15713,JPHU.PA,AJ4.PA_15713,JPHU.PA,5,RESCUED (applied)
1014564,ABB.ST,ABBN.SW,ABB.ST,5,RESCUED (applied)
12557,TGT.DE,180.DE,,0,STILL_DEAD
