instrument_id,symbol,yfinance_symbol,resolved_symbol,rows,status
1277,BPE.MI,BB.MI,BPE.MI,3,RESCUED (applied)
1278,BZU.MI,BS.MI,BZU.MI,3,RESCUED (applied)
1280,CPR.MI,DC-.MI,CPR.MI,3,RESCUED (applied)
1282,ENEL.MI,EPC.MI,ENEL.MI,3,RESCUED (applied)
1283,ENI.MI,EEC.MI,ENI.MI,3,RESCUED (applied)
1285,STLAM.MI,SN.MI,STLAM.MI,3,RESCUED (applied)
1286,LDO.MI,LS.MI,LDO.MI,3,RESCUED (applied)
1288,ISP.MI,ISG.MI,ISP.MI,3,RESCUED (applied)
1290,MB.MI,MBD.MI,MB.MI,3,RESCUED (applied)
1293,MFEB.MI,M-MN.MI,MFEB.MI,3,RESCUED (applied)
1296,PRY.MI,PG.MI,PRY.MI,3,RESCUED (applied)
1297,SFER.MI,SFC.MI,SFER.MI,3,RESCUED (applied)
1299,SRG.MI,SG.MI,SRG.MI,3,RESCUED (applied)
1302,TEN.MI,TG.MI,TEN.MI,3,RESCUED (applied)
1303,TIT.MI,TIS.MI,TIT.MI,3,RESCUED (applied)
1305,TRN.MI,TS.MI,TRN.MI,3,RESCUED (applied)
1307,UCG.MI,UCB.MI,UCG.MI,3,RESCUED (applied)
1313,ACS.MC,ACS,ACS.MC,5,RESCUED (applied)
1314,AMS.MC,AIH-.LS,AMS.MC,5,RESCUED (applied)
1315,ANA.MC,ACCION,ANA.MC,5,RESCUED (applied)
1318,BKT.MC,BANKIN,BKT.MC,5,RESCUED (applied)
1321,DIA.MC,DID.LS,DIA.MC,5,RESCUED (applied)
1322,ELE.MC,ENDESA,ELE.MC,5,RESCUED (applied)
1323,ENG.MC,ENAGAS,ENG.MC,5,RESCUED (applied)
1324,FCC.MC,FDC.LS,FCC.MC,5,RESCUED (applied)
1325,FER.MC,FN.LS,FER.MC,5,RESCUED (applied)
1327,NTGY.MC,NEGS.LS,NTGY.MC,5,RESCUED (applied)
1328,GRF.MC,GS.LS,GRF.MC,5,RESCUED (applied)
1331,IDR.MC,ISS.LS,IDR.MC,5,RESCUED (applied)
1332,ITX.MC,IDD.LS,ITX.MC,5,RESCUED (applied)
1334,MAP.MC,MAPFRE,MAP.MC,5,RESCUED (applied)
1336,OHLA.MC,OHL,OHLA.MC,5,RESCUED (applied)
1338,RED.MC,REC.LS,RED.MC,5,RESCUED (applied)
1340,SAB.MC,BS.LS_1340,SAB.MC,5,RESCUED (applied)
1342,SCYR.MC,SACYR,SCYR.MC,5,RESCUED (applied)
1345,TRE.MC,TR.LS,TRE.MC,5,RESCUED (applied)
1402,ROP.ZU,ROG.N,ROP.SW,5,RESCUED (applied)
1405,ADEN.ZU,AGA.SW,ADEN.SW,5,RESCUED (applied)
1407,BAER.ZU,JBGA.SW,BAER.SW,5,RESCUED (applied)
1409,GEBN.ZU,GA.SW,GEBN.SW,5,RESCUED (applied)
1410,GIVN.ZU,GS.SW,GIVN.SW,5,RESCUED (applied)
1411,HOLN.ZU,HL.SW,HOLN.SW,5,RESCUED (applied)
1412,SCMN.ZU,SA.SW,SCMN.SW,5,RESCUED (applied)
1413,SGSN.ZU,SS.SW,SGSN.SW,5,RESCUED (applied)
1414,SLHN.ZU,SLHA.SW,SLHN.SW,5,RESCUED (applied)
1415,SREN.ZU,SRA.SW,SREN.SW,5,RESCUED (applied)
1418,UHR.ZU,TSG.SW,UHR.SW,5,RESCUED (applied)
1419,ZURN.ZU,ZIGL.SW,ZURN.SW,5,RESCUED (applied)
1980,EVO.ST,EA.ST,EVO.ST,5,RESCUED (applied)
1981,ATCO-B.ST,ACA.ST,ATCO-B.ST,5,RESCUED (applied)
1982,SINCH.ST,SA.ST,SINCH.ST,5,RESCUED (applied)
1983,SKF-B.ST,SACB.ST,SKF-B.ST,5,RESCUED (applied)
1984,ELUXB.ST,AECB.ST,ELUX-B.ST,5,RESCUED (applied)
1985,SCAB.ST,SCAS.ST,SCA-B.ST,5,RESCUED (applied)
1986,KINVB.ST,KACB.ST,KINV-B.ST,5,RESCUED (applied)
1987,BETSB.ST,BACB.ST,BETS-B.ST,5,RESCUED (applied)
1989,SOI.PA,SS.PA,SOI.PA,5,RESCUED (applied)
