instrument_id,symbol,yfinance_symbol,resolved_symbol,rows,status
1367,IBIT,BTC-USD,IBIT,5,RESCUED (applied)
1369,ARKB,BTC-USD,ARKB,5,RESCUED (applied)
1442,IB01.L,I$T,IB01.L,5,RESCUED (applied)
1444,RIGD.L,RIL.NS,RIGD.L,4,RESCUED (applied)
1445,AXB.L,ABL,AXB.L,5,RESCUED (applied)
1446,SBID.L,SBOI,SBID.L,5,RESCUED (applied)
1447,LTOD.L,L&TL,LTOD.L,4,RESCUED (applied)
1448,MHID.L,M&ML,MHID.L,4,RESCUED (applied)
1449,GAID.L,GIL,GAID.L,5,RESCUED (applied)
1453,TTST.L,TSL.NS,TTST.L,4,RESCUED (applied)
1455,CAN.L,CF,CAN.L,5,RESCUED (applied)
1468,SWC.L,TSW,SWC.L,5,RESCUED (applied)
2001,ABF.L,ABF,ABF.L,5,RESCUED (applied)
2005,SUNB.L,SRHI,SUNB.L,5,RESCUED (applied)
2007,ANTO.L,ANTOFA,ANTO.L,5,RESCUED (applied)
2016,BLND.L,BL,BLND.L,5,RESCUED (applied)
2018,BNZL.L,BUNZL,BNZL.L,5,RESCUED (applied)
2023,CCH.L,CCH,CCH.L,5,RESCUED (applied)
2025,CNA.L,CENTRI,CNA.L,5,RESCUED (applied)
2027,CPI.L,COF,CPI.L,5,RESCUED (applied)
2030,EXPN.L,EXPERI,EXPN.L,5,RESCUED (applied)
2032,FRES.L,FRESNI,FRES.L,5,RESCUED (applied)
2036,GSK.L,GLAXOS,GSK.L,5,RESCUED (applied)
2038,HMSO.L,HAMMER,HMSO.L,5,RESCUED (applied)
2044,ITRK.L,IG,ITRK.L,5,RESCUED (applied)
2045,ITV.L,ITV,ITV.L,5,RESCUED (applied)
2046,JMAT.L,JM,JMAT.L,5,RESCUED (applied)
2047,KGF.L,KINGFI,KGF.L,5,RESCUED (applied)
2048,LAND.L,LS,LAND.L,5,RESCUED (applied)
2049,LGEN.L,L&G,LGEN.L,5,RESCUED (applied)
2050,LLOY.L,LBGP,LLOY.L,5,RESCUED (applied)
2053,MKS.L,M&S,MKS.L,5,RESCUED (applied)
2054,MNDI.L,MONDI,MNDI.L,5,RESCUED (applied)
2062,PSN.L,PERSIM,PSN.L,5,RESCUED (applied)
2063,PSON.L,PEARSO,PSON.L,5,RESCUED (applied)
2070,RIO.L,RIO.AX,RIO.L,5,RESCUED (applied)
2077,SBRY.L,JSP,SBRY.L,5,RESCUED (applied)
2078,SDR.L,SCHROD,SDR.L,5,RESCUED (applied)
2083,SN.L,S&N,SN.L,5,RESCUED (applied)
2088,TATE.L,T&L,TATE.L,5,RESCUED (applied)
2094,UU.L,UU,UU.L,5,RESCUED (applied)
2096,WEIR.L,WG,WEIR.L,5,RESCUED (applied)
2098,FERG.L,FP,FERG.L,5,RESCUED (applied)
2099,WPP.L,WPP,WPP.L,5,RESCUED (applied)
2100,WTB.L,WHITBR,WTB.L,5,RESCUED (applied)
2102,III.L,3GP,III.L,5,RESCUED (applied)
2113,SGE.L,TSGP,SGE.L,5,RESCUED (applied)
2117,ITM.L,IPP,ITM.L,5,RESCUED (applied)
2120,AAF.L,AAP,AAF.L,5,RESCUED (applied)
2121,WOSG.L,WOS,WOSG.L,5,RESCUED (applied)
2122,HBR.L,HEP,HBR.L,5,RESCUED (applied)
2126,LIO.L,LAMP,LIO.L,5,RESCUED (applied)
2128,KNOS.L,KGP,KNOS.L,5,RESCUED (applied)
2129,GROW.L,MVP,GROW.L,5,RESCUED (applied)
2130,AJB.L,ABP,AJB.L,5,RESCUED (applied)
2131,SRE.L,SREL,SRE.L,5,RESCUED (applied)
2132,CHRY.L,CIL,CHRY.L,5,RESCUED (applied)
2133,IHP.L,IHP,IHP.L,5,RESCUED (applied)
2134,DEC.L,DECP,DEC.L,5,RESCUED (applied)
2135,ENOG.L,EP,ENOG.L,5,RESCUED (applied)
2139,BYIT.L,BTGP,BYIT.L,5,RESCUED (applied)
2142,OXIG.L,OIP,OXIG.L,5,RESCUED (applied)
2143,PFD.L,PFP,PFD.L,5,RESCUED (applied)
2144,ATG.L,ATGP,ATG.L,5,RESCUED (applied)
2145,HTWS.L,HTP,HTWS.L,5,RESCUED (applied)
2146,JTC.L,JP,JTC.L,5,RESCUED (applied)
2147,N91.L,NOG,N91.L,5,RESCUED (applied)
2149,SEIT.L,SEI,SEIT.L,5,RESCUED (applied)
2151,BTRW.L,BRP,BTRW.L,5,RESCUED (applied)
2155,INF.L,INFORM,INF.L,5,RESCUED (applied)
2158,RTO.L,RIP,RTO.L,5,RESCUED (applied)
2159,SGRO.L,SEGRO,SGRO.L,5,RESCUED (applied)
2161,SMT.L,SMIT,SMT.L,5,RESCUED (applied)
2164,TW.L,TW,TW.L,5,RESCUED (applied)
2175,SMSN.L,TRX-USD,SMSN.L,4,RESCUED (applied)
2177,D28G.L,IID,D28G.L,5,RESCUED (applied)
2178,IGUS.L,IS5_2178,IGUS.L,5,RESCUED (applied)
2180,IJPH.L,IMJ,IJPH.L,5,RESCUED (applied)
2181,JAPN.L,FFJ,JAPN.L,5,RESCUED (applied)
2600,HILS.L,H&SP,HILS.L,5,RESCUED (applied)
2601,MGAM.L,MAMP,MGAM.L,5,RESCUED (applied)
2602,COA.L,CGP,COA.L,5,RESCUED (applied)
2605,HWDN.L,HJGP,HWDN.L,5,RESCUED (applied)
2609,OSB.L,OGP,OSB.L,5,RESCUED (applied)
2611,SPX.L,SEP,SPX.L,5,RESCUED (applied)
2612,TCAP.L,TIP,TCAP.L,5,RESCUED (applied)
2613,FSJ.L,JF&,FSJ.L,5,RESCUED (applied)
2614,BBY.L,BBP,BBY.L,5,RESCUED (applied)
2621,RCP.L,RCPP,RCP.L,5,RESCUED (applied)
2622,UTG.L,UGP,UTG.L,5,RESCUED (applied)
2630,IGG.L,IGHP,IGG.L,5,RESCUED (applied)
2632,RNK.L,RGP,RNK.L,5,RESCUED (applied)
2634,PTEC.L,PP,PTEC.L,5,RESCUED (applied)
2635,CRST.L,CNHP,CRST.L,5,RESCUED (applied)
2643,DLN.L,DLP,DLN.L,5,RESCUED (applied)
2650,SHC.L,SCP,SHC.L,5,RESCUED (applied)
2651,GFTU.L,GGP,GFTU.L,5,RESCUED (applied)
2656,RAT.L,RBP,RAT.L,5,RESCUED (applied)
2665,LMP.L,LPP,LMP.L,5,RESCUED (applied)
2666,AUTO.L,AGP,AUTO.L,5,RESCUED (applied)
2667,ALW.L,AWP,ALW.L,5,RESCUED (applied)
2670,HOC.L,HMP,HOC.L,5,RESCUED (applied)
2680,HICL.L,HICL,HICL.L,5,RESCUED (applied)
2682,FDM.L,FGHP,FDM.L,5,RESCUED (applied)
2685,BKG.L,BGHP,BKG.L,5,RESCUED (applied)
2691,ZIG.L,ZP,ZIG.L,5,RESCUED (applied)
2695,VSVS.L,VP,VSVS.L,5,RESCUED (applied)
2698,LRE.L,LHL,LRE.L,5,RESCUED (applied)
2700,PZC.L,PCP,PZC.L,5,RESCUED (applied)
2705,DOM.L,DPGP,DOM.L,5,RESCUED (applied)
2706,HFD.L,HGP,HFD.L,5,RESCUED (applied)
2709,QQ.L,QGP,QQ.L,5,RESCUED (applied)
2711,JUP.L,JFMP,JUP.L,5,RESCUED (applied)
2714,CTY.L,COL,CTY.L,5,RESCUED (applied)
